City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Bilma,NE,18.6853,12.9164,75.88,14,35,6.17,scattered clouds
320,Moissala,TD,8.3404,17.7663,81.57,23,13,5.93,few clouds
321,Abramovka,RU,51.1886,41.0202,16.97,66,21,8.68,few clouds
322,Inirida,CO,3.8653,-67.9239,86.5,66,64,3.78,broken clouds
323,Buzmeyin,TM,38.0507,58.2056,31.73,74,100,2.3,overcast clouds
324,Almaznyy,RU,48.0448,40.045,20.08,71,41,14.83,scattered clouds
325,Kamina,CD,-8.7386,24.9906,64.85,95,57,3.02,broken clouds
326,Greenwood,US,34.1668,-82.1165,48.02,100,100,5.75,overcast clouds
327,Camana,PE,-16.6228,-72.7111,72.46,71,60,8.34,broken clouds
328,Roebourne,AU,-20.7833,117.1333,81.91,47,2,17.67,clear sky
329,Loikaw,MM,19.6742,97.2094,62.94,86,55,3.13,broken clouds
330,Gombong,ID,-7.6072,109.5142,76.46,91,100,2.17,overcast clouds
331,Weyburn,CA,49.6668,-103.8511,-9.18,77,100,4.61,overcast clouds
332,San Vicente,AR,-26.6167,-54.1333,85.77,49,50,2.3,scattered clouds
333,Las Varas,MX,21.1667,-105.1667,81.79,58,1,5.17,clear sky
334,Sola,VU,-13.8833,167.55,82.02,76,80,13.94,broken clouds
335,Sawakin,SD,19.1059,37.3321,78.46,73,57,10.31,broken clouds
336,Stonewall,CA,50.1344,-97.3268,-0.22,89,100,3.2,light snow
337,Turinskaya Sloboda,RU,57.6232,64.3858,-3.59,97,28,4.99,scattered clouds
338,Naze,JP,28.3667,129.4833,58.12,64,28,16.84,scattered clouds
339,Bac Lieu,VN,9.285,105.7244,78.76,85,100,14.99,overcast clouds
340,Olavarria,AR,-36.8927,-60.3225,99.25,15,83,10.8,broken clouds
341,El Alto,PE,-4.2714,-81.2147,78.46,69,54,12.37,broken clouds
342,Rosario,AR,-32.9468,-60.6393,105.94,20,0,8.05,clear sky
343,Sistranda,NO,63.7256,8.834,31.96,57,100,21.99,light snow
